date,newcases,deaths
3/26/2022,1376426,3097
3/27/2022,960575,2683
3/28/2022,1479763,3952
3/29/2022,1749709,4938
3/30/2022,1594233,4928
3/31/2022,1814221,4811
4/1/2022,1164967,4215
4/2/2022,1067949,2864
4/3/2022,807834,1958
4/4/2022,921536,3028
4/5/2022,1364709,4165
4/6/2022,1418956,4478
4/7/2022,1250615,4304
4/8/2022,1148723,3926
4/9/2022,796929,2356
4/10/2022,592012,1784
4/11/2022,949629,2793
4/12/2022,1094212,3343
4/13/2022,1058304,4030
4/14/2022,956748,3464
4/15/2022,704324,2501
4/16/2022,593400,1623
4/17/2022,428017,1545
4/18/2022,479647,1587
4/19/2022,939532,3077
4/20/2022,948611,4169
4/21/2022,896325,3083
4/22/2022,804621,2704
4/23/2022,517117,1611
4/24/2022,385256,1172
4/25/2022,579845,2180
4/26/2022,642132,3970
4/27/2022,813240,3393
4/28/2022,730588,2958
4/29/2022,629763,2498
4/30/2022,364764,1457
5/1/2022,313308,1205
5/2/2022,457821,1813
5/3/2022,665828,2205
5/4/2022,616454,3675
5/5/2022,588184,2270
5/6/2022,617656,2123
5/7/2022,347274,1139
5/8/2022,282135,846
5/9/2022,713932,1908
5/10/2022,630726,2009
5/11/2022,686324,2201
5/12/2022,632689,1951
5/13/2022,565708,1867
5/14/2022,444509,966
5/15/2022,375824,777
5/16/2022,607077,1673
5/17/2022,594492,1786
5/18/2022,746966,2372
5/19/2022,587674,1696
5/20/2022,619305,1983
5/21/2022,370934,1077
5/22/2022,329364,688
5/23/2022,538664,1601
5/24/2022,579235,1655
5/25/2022,634251,2600
5/26/2022,508821,1510
5/27/2022,568025,1916
5/28/2022,288172,754
5/29/2022,277370,619
5/30/2022,406182,1245
5/31/2022,618514,1477
6/1/2022,692013,2064
6/2/2022,524551,1634
6/3/2022,541955,1539
6/4/2022,252962,663
6/5/2022,266191,813
6/6/2022,436576,972
6/7/2022,650261,2078
6/8/2022,699709,2538
6/9/2022,564957,1548
6/10/2022,543754,1681
6/11/2022,283588,914
6/12/2022,203488,574
6/13/2022,563118,1737
6/14/2022,843479,1822
6/15/2022,718780,1971
6/16/2022,521414,1435
6/17/2022,585104,1300
6/18/2022,228488,643
6/19/2022,275201,680
6/20/2022,790388,1667
6/21/2022,812256,1633
6/22/2022,805693,2033
6/23/2022,771988,1793
6/24/2022,758251,1780
6/25/2022,316716,783
6/26/2022,287196,660
6/27/2022,924831,1500
6/28/2022,933304,1991
6/29/2022,930235,1757
6/30/2022,1057966,1644
7/1/2022,935150,1892
7/2/2022,358842,822
7/3/2022,360520,738
7/4/2022,898337,1145
7/5/2022,1187646,2228
7/6/2022,1230197,2340
7/7/2022,1035229,2710
7/8/2022,982735,2307
7/9/2022,502950,991
7/10/2022,426124,853
7/11/2022,1108812,1847
7/12/2022,1195266,2384
7/13/2022,1450381,2666
7/14/2022,958975,2026
7/15/2022,1013913,2345
7/16/2022,551978,1065
7/17/2022,459210,986
7/18/2022,1235865,2052
7/19/2022,1524973,3107
7/20/2022,1597442,2945
7/21/2022,1123941,2469
7/22/2022,1077818,2895
7/23/2022,636551,1255
7/24/2022,549869,1030
7/25/2022,1026837,2021
7/26/2022,1173437,2907
7/27/2022,1407821,3347
7/28/2022,1095425,2731
7/29/2022,1355273,3002
7/30/2022,575012,1075
7/31/2022,545170,921
8/1/2022,909315,2487
8/2/2022,1175601,2916
8/3/2022,1141202,3171
8/4/2022,1044630,3104
8/5/2022,889209,2950
8/6/2022,1023096,1699
8/7/2022,497565,939
8/8/2022,845710,2337
8/9/2022,1034321,3598
8/10/2022,1011952,2668
8/11/2022,994294,3194
8/12/2022,748154,2826
8/13/2022,635536,1441
8/14/2022,460675,993
8/15/2022,873399,2405
8/16/2022,1085896,3479
8/17/2022,980651,3264
8/18/2022,931760,2932
8/19/2022,790355,2692
8/20/2022,573415,1160
8/21/2022,484315,1719
8/22/2022,735196,1639
8/23/2022,882200,2930
8/24/2022,830684,3044
8/25/2022,900499,3012
8/26/2022,697406,2572
8/27/2022,451818,1177
8/28/2022,405976,1021
8/29/2022,598459,2038
8/30/2022,693648,2393
8/31/2022,791548,3491
9/1/2022,672217,2572
9/2/2022,652293,2717
9/3/2022,375760,1043
9/4/2022,370169,1109
9/5/2022,478022,1424
9/6/2022,670880,2336
9/7/2022,609449,2204
9/8/2022,576761,2216
9/9/2022,519004,2300
9/10/2022,312074,897
9/11/2022,314022,784
9/12/2022,510019,1541
9/13/2022,544812,1991
9/14/2022,703502,2538
9/15/2022,602002,2432
9/16/2022,452330,2005
9/17/2022,293851,823
9/18/2022,254318,583
9/19/2022,440497,1447
9/20/2022,548495,1762
9/21/2022,516971,2099
9/22/2022,612008,2154
9/23/2022,512704,1852
9/24/2022,263805,801
9/25/2022,222673,507
9/26/2022,465068,1405
9/27/2022,604006,1614
9/28/2022,531367,2329
9/29/2022,661467,2297
9/30/2022,448109,1445
10/1/2022,239344,668
10/2/2022,200426,561
10/3/2022,319561,1362
10/4/2022,657668,1612
10/5/2022,580028,2196
10/6/2022,680643,1986
10/7/2022,521450,1805
10/8/2022,217817,706
10/9/2022,218606,628
10/10/2022,503673,1369
10/11/2022,652854,1919
10/12/2022,558481,1876
10/13/2022,630455,2161
10/14/2022,453694,1633
10/15/2022,216312,774
10/16/2022,191908,543
10/17/2022,534811,1806
10/18/2022,608228,1881
10/19/2022,514178,2263
10/20/2022,569668,2104
10/21/2022,412073,2019
10/22/2022,181730,613
10/23/2022,160574,587
10/24/2022,427296,1462
10/25/2022,573963,2140
10/26/2022,450091,2488
10/27/2022,460069,2062
10/28/2022,349138,1458
10/29/2022,198907,657
10/30/2022,167103,579
10/31/2022,300940,1193
11/1/2022,382156,2737
11/2/2022,396206,1757
11/3/2022,471208,2203
11/4/2022,425678,1895
11/5/2022,200530,530
11/6/2022,186352,483
11/7/2022,327792,1127
11/8/2022,436724,1183
11/9/2022,424182,2050
11/10/2022,454963,2005
11/11/2022,482426,1590
11/12/2022,241812,474
11/13/2022,183168,437
11/14/2022,366077,1306
11/15/2022,494274,1415
11/16/2022,480175,2236
11/17/2022,473707,1939
11/18/2022,627942,2309
11/19/2022,246683,423
11/20/2022,221701,509
11/21/2022,355944,1052
11/22/2022,557672,1821
11/23/2022,593528,2307
